#{"t_start": 1634166177.9771671, "env_id": null}
r,l,t
-13.885159,800,0.894458
-401.797714,15,2.259555
-409.218192,80,2.410228
-436.630868,355,2.921969
-25.114838,800,4.671547
-388.16427,324,6.402563
3.535558,800,8.018744
69.608157,800,10.223624
47.662947,800,12.425861
85.539892,800,21.876713
-390.816901,665,23.86587
81.222655,800,25.739545
-403.389643,46,27.121638
-395.827252,330,27.529241
-387.659005,332,28.410891
39.785289,800,29.776856
23.670691,800,32.00632
13.114387,800,43.492682
1.79641,800,45.959566
1.956261,800,48.335398
17.068599,800,50.660762
64.862729,800,52.907892
112.266667,800,55.089031
97.128986,800,57.286651
73.723861,800,67.431009
138.901979,800,69.571453
143.724298,800,71.654341
139.334689,800,73.698422
132.009839,800,75.75988
131.052573,800,77.887077
128.411951,800,87.454178
139.692323,800,89.616537
164.524147,800,91.787076
142.226337,800,93.917437
164.067979,800,96.09308
161.305659,800,98.308623
159.44157,800,108.06404
185.787123,800,110.254087
170.08934,800,112.450865
170.269644,800,114.645762
156.322837,800,116.849422
156.815027,800,119.051646
191.546343,800,128.917306
181.569572,800,131.048232
178.943063,800,133.11527
187.111339,800,135.195761
176.443426,800,137.297549
176.448728,800,139.374255
180.75435,800,141.419733
176.804233,800,150.449608
172.624974,800,152.517689
179.949342,800,154.579492
174.267596,800,156.660167
178.322166,800,158.730437
-402.488897,21,160.07162
173.626298,800,160.843197
169.452351,800,165.875403
187.519983,800,167.96725
-403.196991,24,169.315239
182.231881,800,170.099236
-402.414463,20,171.455828
-402.270344,19,171.506706
-404.580818,31,171.574832
-402.687779,21,171.646855
-403.648418,24,171.709742
-402.672519,23,171.774775
177.105295,800,172.596275
-415.573096,71,174.033257
-403.822707,25,174.177614
-413.00546,61,174.313507
-403.304019,25,174.443025
-403.029984,22,174.507584
-403.661453,24,174.569063
-407.468247,44,174.667107
-407.728507,45,174.80155
188.138935,800,175.648837
-403.68916,24,177.028898
-404.128238,25,177.09561
-403.603402,25,177.166487
-407.335171,43,177.261833
-415.87362,73,177.444848
-402.884867,23,177.593705
-403.229617,24,177.656994
-402.682903,22,177.71766
-402.854097,23,177.780908
-404.751444,31,177.856741
-402.487386,20,177.927068
-403.412965,25,177.98509
-403.304324,27,178.058218
-402.853655,21,178.127558
-403.753561,24,178.187233
-402.567734,20,178.247591
-402.800504,20,178.303999
-403.570718,24,178.364481
-403.703924,25,178.429773
-403.104195,22,178.492665
-405.225393,31,178.559655
-417.563673,75,178.726549
-402.716538,22,178.87822
-403.707131,25,178.939803
-402.986235,22,179.004186
-402.943912,22,179.064544
-411.329885,60,180.112614
-402.264042,19,180.233082
-402.40389,19,180.285605
-409.543714,50,180.380776
-402.424763,18,180.483378
-403.33167,26,180.544623
-402.742492,23,180.618819
-402.483461,18,180.677221
-402.483461,18,180.728884
-404.404875,30,180.799043
-402.539561,19,180.869967
-402.911197,23,180.927415
-402.664524,19,180.983074
-402.34336,21,181.036715
-402.247352,17,181.088772
-402.465081,18,181.133415
-402.626906,20,181.184389
-402.209097,19,181.23859
-405.502805,31,181.303853
-403.364884,24,181.379715
-402.382851,19,181.437592
-402.278258,17,181.485451
-405.449683,38,181.563385
-402.605736,19,181.644608
-402.569077,21,181.697057
-402.057077,16,181.747552
-402.748312,21,181.798368
-403.162694,23,181.860672
-402.278258,17,181.914409
-402.305455,19,181.960273
-402.288226,18,182.007569
-402.350449,19,182.058635
-402.467665,18,182.107544
