#{"t_start": 1634171881.4046903, "env_id": null}
r,l,t
-0.78432,800,0.93933
-412.740831,144,2.486423
-1.380235,800,3.844753
-440.599242,423,5.653291
-406.205397,215,6.596879
-6.202034,800,7.899684
-299.647702,507,9.839762
-402.865139,41,10.725343
-382.616297,198,11.026596
-351.75893,261,11.657677
-345.295411,285,12.415436
-328.572532,347,13.269306
-309.834651,338,17.736812
-344.137915,227,18.562093
-318.73755,267,19.240501
-326.923483,268,19.975873
-265.09962,429,20.883482
317.548335,800,22.577865
404.06269,800,24.999069
-355.223592,205,26.606466
362.396731,800,27.994602
436.051518,800,30.457383
-292.122692,371,37.968569
393.409164,800,39.652145
284.391473,800,42.004253
375.976709,800,44.430016
-311.667926,403,46.29752
309.168907,800,47.982752
293.61252,800,50.28068
317.38887,800,60.74287
369.2314,800,63.060894
-402.968405,31,64.419044
309.583187,800,65.443074
314.560138,800,67.761801
288.817053,800,70.059015
307.806659,800,72.374885
348.84248,800,84.566218
382.14386,800,86.911784
394.06832,800,89.213312
351.062146,800,91.554481
-280.1396,355,93.310584
410.889578,800,94.863059
359.355421,800,97.137193
-333.256703,207,98.633831
361.599567,800,109.496138
201.533159,800,111.768273
340.830415,800,113.970576
286.158359,800,116.158661
197.630346,800,118.317122
89.280413,800,120.449686
195.611417,800,130.992167
182.574043,800,133.143185
119.615854,800,135.293619
103.559447,800,137.457659
108.197641,800,139.624434
73.833987,800,141.790028
222.199138,800,153.993706
382.847176,800,156.302633
278.183564,800,158.582652
333.60447,800,160.819358
355.110565,800,163.077975
151.959182,800,165.359581
104.90454,800,167.613734
125.297776,800,179.04596
191.382915,800,181.364078
229.922207,800,183.734041
360.363493,800,186.031092
287.891037,800,188.377136
325.685467,800,190.725379
55.815556,800,203.185802
217.065121,800,205.519713
213.122651,800,207.832952
342.193356,800,210.118124
-329.033645,333,211.816864
180.521082,800,213.266945
206.415528,800,215.498788
238.747109,800,226.203254
385.981268,800,228.473901
-189.590472,607,230.488528
174.857879,800,232.333429
-292.570515,398,234.053965
129.780023,800,235.574153
231.912072,800,237.774173
127.562739,800,248.571001
284.277975,800,250.836146
106.313661,800,253.046024
78.939007,800,255.283326
74.440486,800,257.528507
73.203042,800,259.77208
76.440366,800,271.289957
58.150354,800,273.511871
38.064524,800,275.790612
84.437566,800,278.041553
98.613641,800,280.262941
100.311502,800,282.507337
129.061949,800,294.441328
119.716005,800,296.72386
164.832754,800,299.038519
130.703765,800,301.292201
159.271139,800,303.607203
201.522898,800,305.90933
186.949272,800,316.132636
303.423905,800,318.362226
220.469301,800,320.598897
174.601105,800,322.802102
296.06439,800,325.042168
-396.043453,206,326.589433
219.190657,800,327.813927
-390.163096,283,329.438214
12.967096,800,340.551241
-391.362372,507,342.491214
11.592029,800,344.332941
-390.378684,255,345.94255
-390.262781,465,346.909441
-364.322992,657,348.479604
-364.025291,412,350.021979
-349.296098,477,351.209572
-372.1375,395,352.435504
-384.490958,525,353.684226
-206.162279,660,359.99842
-282.541531,551,361.695464
-375.083153,396,363.013162
126.804546,800,364.578659
-380.209582,307,366.307813
154.521819,800,367.796307
