#{"t_start": 1634166841.7172813, "env_id": null}
r,l,t
-14.049581,800,0.949302
-403.850076,30,2.339132
-403.646332,150,2.554145
24.612169,800,3.848952
-2.570299,800,6.170605
27.982634,800,8.477394
72.45711,800,10.756641
-386.544051,141,12.274042
130.163998,800,21.822395
-380.644995,176,23.384468
117.639156,800,24.568741
168.313797,800,26.772614
-144.592369,739,28.990649
248.013801,800,31.207155
367.922149,800,33.579583
289.982926,800,46.499776
250.495475,800,48.793448
163.579668,800,51.087334
-303.416656,429,52.93268
384.187355,800,54.583416
320.011546,800,56.886542
-281.726791,300,58.573597
359.970165,800,60.030796
-182.282788,489,65.026049
-346.556508,170,66.070923
408.313304,800,67.279529
403.69899,800,69.596322
410.119183,800,71.941373
403.808643,800,74.282406
403.832889,800,76.598143
-337.258901,172,78.121655
-363.058055,128,78.543618
-353.958939,199,78.935868
-346.040447,165,84.09678
402.10515,800,85.268807
-336.363833,184,86.801826
348.371222,800,87.973363
398.67846,800,90.260109
342.247627,800,92.539234
381.327564,800,94.800014
402.253393,800,104.997976
-402.244675,18,106.387998
-127.928739,535,107.040247
-281.021023,283,108.280198
-224.412488,383,109.181576
-336.342231,198,110.043144
-329.684962,196,110.597435
-121.455501,536,111.546346
-299.2296,233,112.710123
-330.06167,190,113.304493
-312.794254,227,113.872452
-222.822583,392,114.705031
-341.550981,175,115.557593
-323.817124,199,116.068733
-328.538369,210,116.620661
-302.660748,266,117.271074
353.831322,800,118.639762
345.900065,800,132.536914
397.997893,800,134.884037
390.332766,800,137.185587
393.062108,800,139.424527
411.29515,800,141.699208
432.4013,800,143.961187
415.239184,800,155.549577
387.457185,800,157.832882
363.666776,800,160.126578
346.280492,800,162.419284
378.677243,800,164.665967
395.707918,800,166.940082
391.121531,800,180.284798
394.060469,800,182.647853
446.86402,800,184.9362
419.638104,800,187.24271
470.806421,800,189.487891
516.950667,800,191.815718
535.116178,800,203.656629
515.520897,800,206.030536
525.572408,800,208.349428
546.554632,800,210.727815
530.850191,800,213.079902
520.065451,800,215.411407
520.936117,800,217.764415
557.963243,800,228.862483
528.920288,800,231.086692
550.863407,800,233.345916
543.027361,800,235.587604
585.909197,800,237.870801
626.251871,800,240.203771
610.32022,800,252.225332
644.446428,800,254.628148
670.09725,800,256.972236
715.401015,800,259.437752
680.840258,800,261.845044
699.780718,800,264.229571
649.345722,800,279.400851
645.621146,800,281.750967
653.816432,800,284.059095
716.54836,800,286.518455
659.28324,800,288.924428
721.063081,800,291.36119
667.07619,800,304.964459
712.958281,800,307.40834
703.317377,800,309.838085
710.827611,800,312.268535
704.618317,800,314.681571
689.795069,800,317.131501
708.640116,800,319.489885
702.461999,800,331.697972
691.834668,800,334.121004
638.452227,800,336.504837
659.458421,800,338.944154
716.937396,800,341.394641
689.714014,800,343.836633
709.955879,800,356.515709
674.672939,800,358.971025
649.29998,800,361.41637
686.497368,800,363.815923
636.321616,800,366.111531
714.33082,800,368.435124
661.675587,800,380.266926
-119.144741,392,382.044578
674.545328,800,383.665368
712.101438,800,385.964153
655.513751,800,388.172313
700.910533,800,390.404008
699.252023,800,392.69722
645.005382,800,404.155881
706.762831,800,406.434825
715.575875,800,408.651827
707.797528,800,410.953947
694.406536,800,413.249226
232.852979,730,415.573309
701.31598,800,428.283563
666.370071,800,430.606682
697.536882,800,433.004423
697.131918,800,435.367392
694.678175,800,437.665498
701.165106,800,439.995658
712.805695,800,451.714715
693.310637,800,454.020942
722.438674,800,456.321851
705.153947,800,458.699153
-44.329632,440,460.59149
670.299778,800,462.338938
711.160744,800,464.681183
709.309605,800,475.874899
687.369338,800,478.234826
709.186195,800,480.599813
700.333342,800,482.966944
701.435434,800,485.335651
692.003102,800,487.711004
708.188696,800,499.646731
703.518812,800,502.056034
705.120342,800,504.473462
693.092823,800,506.756744
695.781137,800,509.130073
670.30631,800,511.470307
714.093561,800,513.760905
705.682804,800,524.833916
702.738233,800,527.226471
679.884865,800,529.49368
708.766195,800,531.832874
684.493798,800,534.166982
726.098133,800,536.550286
692.835593,800,548.553494
708.28345,800,550.873796
682.957445,800,553.263891
635.621542,800,555.554338
717.77411,800,557.821988
718.491258,800,560.268018
707.076202,800,571.53516
674.487553,800,573.879043
665.998782,800,576.238664
701.980236,800,578.511395
683.887578,800,580.770074
692.209207,800,583.081314
701.725908,800,594.795935
712.898529,800,597.153389
721.293955,800,599.468679
691.940027,800,601.814663
714.700762,800,604.119231
681.524589,800,606.413536
707.549232,800,608.728304
684.139555,800,620.471095
704.847209,800,622.851155
679.690658,800,625.223669
677.834489,800,627.651191
682.298032,800,629.968452
660.094807,800,632.266213
704.355874,800,647.542661
123.274824,648,649.658007
702.180605,800,651.788699
672.171985,800,654.135422
715.59197,800,656.406094
692.933437,800,658.788274
656.548957,800,670.948929
677.879296,800,673.247991
704.071775,800,675.567032
-278.902458,204,677.148071
680.453994,800,678.356598
687.869858,800,680.607619
686.992264,800,682.920299
676.325097,800,696.861931
708.169716,800,699.1573
675.341539,800,701.420892
-35.158688,443,703.312754
708.437798,800,705.100629
712.878306,800,707.447024
687.282653,800,709.762962
719.427136,800,721.509867
