#{"t_start": 1634167564.5870156, "env_id": null}
r,l,t
-0.78432,800,0.942894
-396.904719,275,2.623269
213.557647,800,3.916523
342.075371,800,6.039766
-322.373936,257,7.673532
-390.598956,126,8.240215
389.010416,800,9.289788
406.886739,800,11.505465
358.703188,800,20.18311
-192.161599,554,22.128969
374.017217,800,23.967786
361.056066,800,26.219726
-287.056671,506,28.128665
241.356736,800,29.912987
376.235643,800,32.210331
365.975007,800,43.699377
382.477569,800,45.958433
417.209889,800,48.22845
359.91014,800,50.481437
501.531382,800,52.678749
524.920747,800,54.934198
548.921424,800,66.496631
559.159169,800,68.766331
555.212344,800,71.028195
557.427578,800,73.30954
553.732925,800,75.558889
591.530223,800,77.826768
578.788193,800,89.113292
653.529461,800,91.402879
641.413461,800,93.642413
679.34003,800,95.943889
674.828253,800,98.355304
708.216317,800,100.79204
668.907402,800,103.226963
712.792634,800,115.359046
683.432005,800,117.760374
657.302233,800,120.102646
704.340692,800,122.551286
717.924644,800,124.896526
678.565985,800,127.296356
694.937723,800,139.425106
690.497786,800,141.856751
708.149638,800,144.322489
725.008591,800,146.774806
-3.853658,471,148.712473
31.293929,525,150.219784
710.274358,800,152.217814
684.314369,800,166.218041
681.394649,800,168.650104
-60.356857,433,170.572989
681.738202,800,172.358098
640.78166,800,174.725538
688.234336,800,177.136605
723.956909,800,179.557513
153.031409,718,193.149557
693.09503,800,195.434272
688.429517,800,197.837585
-137.226355,341,199.64787
675.173121,800,201.229959
713.361749,800,203.586983
705.934904,800,216.852623
678.904651,800,219.281133
697.235018,800,221.694063
681.031651,800,224.121357
721.143129,800,226.603236
-99.455541,400,228.462902
663.476337,800,230.123607
710.366037,800,244.244965
718.809986,800,246.765266
700.66578,800,249.247999
704.72943,800,251.705588
730.744758,800,254.135236
684.904157,800,256.578582
699.040948,800,269.42086
717.253347,800,271.909306
668.867464,800,274.311237
722.290462,800,276.69017
700.265376,800,279.073883
696.158352,800,281.407563
702.534431,800,283.770441
722.953847,800,295.515997
716.376728,800,297.93896
685.595706,800,300.387743
675.865301,800,302.893779
704.711864,800,305.303284
708.844178,800,307.667241
736.680259,800,319.79448
691.441636,800,322.095224
709.549849,800,324.353268
692.813473,800,326.685374
672.322341,800,328.973593
685.549518,800,331.308906
677.174683,800,342.779539
673.245306,800,345.117662
684.821106,800,347.48786
701.259835,800,349.883084
686.100727,800,352.239309
713.768546,800,354.579294
679.906548,800,367.382118
674.43581,800,369.770842
676.820728,800,372.029983
645.068187,800,374.317402
655.178225,800,376.592818
674.316324,800,378.918486
681.080763,800,381.253985
662.341708,800,393.150589
656.348796,800,395.589968
658.577171,800,398.005931
685.849698,800,400.261997
677.187471,800,402.472712
667.928052,800,404.686361
655.490033,800,416.245477
648.819587,800,418.44962
674.391552,800,420.647156
652.93375,800,422.825889
17.022282,558,424.768171
50.536564,581,426.328223
687.035233,800,428.144104
669.706796,800,437.960518
650.978887,800,440.186176
653.267898,800,442.380972
676.269409,800,444.58589
686.79429,800,446.776996
673.294088,800,449.041628
695.263266,800,460.981636
706.477778,800,463.306151
640.792586,800,465.594992
691.686845,800,467.973404
691.967435,800,470.332013
683.389221,800,472.710832
682.873029,800,487.722837
677.143985,800,490.064489
692.107435,800,492.369898
667.607335,800,494.72263
653.377063,800,497.025153
704.724899,800,499.45755
671.381123,800,501.786883
694.744592,800,514.558312
737.164528,800,516.913975
676.603387,800,519.353146
654.563049,800,521.773264
690.520582,800,524.103751
640.462262,800,526.37402
707.016192,800,539.763324
696.148866,800,542.039261
694.102903,800,544.326936
683.773753,800,546.635921
668.021221,800,549.062344
684.553984,800,551.420962
667.062798,800,564.491581
674.09908,800,566.844996
-156.319273,340,568.62012
666.82996,800,570.180696
662.626347,800,572.472958
-187.72698,295,574.167716
701.331133,800,575.571947
685.702711,800,577.94029
654.16295,800,588.767697
649.88683,800,591.020959
658.33087,800,593.312048
653.18251,800,595.71691
669.888567,800,598.032156
643.279754,800,600.22082
668.60664,800,611.627548
666.063245,800,613.821575
685.208283,800,616.181414
702.575708,800,618.462794
660.452185,800,620.813582
616.208484,800,623.072914
645.993762,800,634.543557
687.545881,800,636.936548
630.29548,800,639.278143
630.990274,800,641.602106
636.625233,800,643.906161
617.11842,800,646.256308
628.922248,800,658.669429
653.175434,800,661.006756
645.765105,800,663.357329
665.105305,800,665.715177
663.309889,800,667.917639
715.955283,800,670.356388
674.192339,800,672.70079
675.45023,800,687.129194
676.438733,800,689.419704
685.727573,800,691.853796
690.441091,800,694.31819
624.540918,800,696.508873
641.642572,800,698.745365
646.037749,800,708.630762
658.184814,800,710.894819
673.779588,800,713.161346
679.511695,800,715.507442
657.496354,800,717.784121
687.873344,800,720.069376
666.051855,800,731.556086
