#{"t_start": 1634183846.5870686, "env_id": null}
r,l,t
-401.705754,16,0.015966
-397.956576,109,0.162382
-393.381999,175,0.522111
-385.946699,265,1.086766
26.277493,800,2.292267
-405.840731,50,3.694051
-399.221832,57,3.830705
-376.703718,318,4.217201
-377.824002,345,5.079169
-18.858748,800,6.526598
-406.504936,158,8.044889
93.257059,800,9.198048
-0.856905,800,11.370261
-231.194789,605,15.508227
79.740168,800,17.386584
178.972011,800,19.578661
284.768948,800,21.776613
164.387745,800,23.97729
-6.118217,800,26.20188
-1.405978,800,36.569948
223.848117,800,38.793984
359.32596,800,40.9303
351.764612,800,43.192693
371.174937,800,45.48233
433.986912,800,47.737042
-342.131722,167,49.270158
379.665171,800,58.282484
374.264132,800,60.534396
395.059763,800,62.782209
398.970613,800,65.043959
-348.226427,167,66.582074
-335.952667,173,67.0275
379.734757,800,68.257334
378.221498,800,70.549092
-317.212048,217,72.118167
365.119644,800,83.818563
-325.934034,190,85.364746
-173.12728,481,86.216971
370.51228,800,87.983334
359.446312,800,90.289396
407.009973,800,92.483261
395.965945,800,94.63453
467.658577,800,105.024301
399.247892,800,107.295109
412.800877,800,109.55017
429.261535,800,111.763063
382.570301,800,114.010929
409.612726,800,116.282237
383.175255,800,118.531384
418.871736,800,129.934378
396.007055,800,132.243207
428.093021,800,134.511571
431.00327,800,136.78742
496.345718,800,138.988823
497.696338,800,141.154661
521.479371,800,150.996503
580.453224,800,153.200095
-401.154648,35,154.546993
553.048397,800,155.409381
717.62768,800,157.688297
663.075471,800,159.876574
707.455876,800,162.16324
672.615444,800,173.694644
694.893776,800,176.001092
678.015884,800,178.293996
710.294115,800,180.583107
703.40393,800,182.877827
675.259272,800,185.150753
707.369922,800,197.230459
679.17017,800,199.541494
721.744489,800,201.84803
725.200652,800,204.229941
712.277752,800,206.643578
662.792575,800,208.971788
694.329106,800,211.354558
702.138484,800,223.47825
712.65816,800,225.902153
718.749433,800,228.266798
641.052253,800,230.591446
688.169,800,232.975916
713.678292,800,235.414145
727.596944,800,249.193794
681.386028,800,251.574114
711.408112,800,253.990847
706.064819,800,256.390284
682.517905,800,258.724456
698.162245,800,261.131815
705.50927,800,273.687183
701.474586,800,276.051264
706.938463,800,278.343687
259.121439,732,280.578142
-378.086443,89,281.880817
189.346798,707,282.891389
685.268826,800,285.109535
678.064748,800,296.294065
685.629407,800,298.598439
707.167933,800,300.878389
713.069953,800,303.195009
685.9005,800,305.494225
703.519893,800,307.77929
699.159018,800,310.09253
722.334378,800,322.1626
707.489589,800,324.464882
694.206726,800,326.772963
700.227741,800,329.062984
671.82344,800,331.26311
727.296561,800,333.53563
723.225777,800,346.008195
686.273075,800,348.288548
706.68036,800,350.632128
-37.626466,445,352.502919
697.916477,800,354.220983
696.234891,800,356.573456
682.271799,800,358.955312
-108.904066,383,371.849733
682.539266,800,373.472643
699.626724,800,375.886171
669.653572,800,378.227718
645.325824,800,380.575135
686.953914,800,382.975096
696.105265,800,394.260849
682.375465,800,396.576882
677.832418,800,398.896979
697.313395,800,401.238633
690.068002,800,403.54469
701.891213,800,405.815266
690.946283,800,408.147491
634.146329,800,419.772929
701.443845,800,422.019349
662.503059,800,424.270535
-403.200736,28,425.656881
699.926723,800,426.787188
622.405622,800,429.088653
611.783062,800,431.38365
628.22476,800,442.719735
685.995609,800,445.090593
675.770528,800,447.414712
704.461117,800,449.72024
690.487548,800,451.967278
685.539398,800,454.234316
685.447358,800,467.794667
663.724089,800,470.147693
691.440715,800,472.393478
658.345699,800,474.806504
688.62555,800,477.086052
701.120894,800,479.365927
689.033844,800,491.412134
683.491725,800,493.680288
724.83791,800,496.070501
676.700153,800,498.436136
708.548925,800,500.726515
-74.9061,448,502.576411
664.500709,800,504.242376
712.18527,800,514.730438
659.814003,800,517.145804
696.686293,800,519.364427
727.372665,800,521.596438
721.859369,800,523.876017
681.232105,800,526.183337
670.206422,800,536.689191
700.300728,800,538.953992
679.342152,800,541.249412
716.707583,800,543.439896
710.262183,800,545.762632
686.485941,800,547.944666
717.584142,800,550.197139
703.373354,800,565.889932
678.600818,800,568.186038
723.398311,800,570.408934
675.129275,800,572.677656
697.510734,800,574.99101
245.701915,727,577.301682
703.741539,800,589.038873
688.309404,800,591.322662
697.107224,800,593.597269
701.569352,800,595.891163
705.366677,800,598.134097
723.752211,800,600.410925
685.63341,800,614.904829
669.631151,800,617.130132
706.265264,800,619.311264
702.609787,800,621.486643
709.957329,800,623.932037
701.381039,800,626.249579
699.838747,800,640.321231
700.72385,800,642.704009
699.418105,800,644.982265
708.836589,800,647.241895
683.199225,800,649.5735
674.32685,800,651.78607
670.878544,800,654.063549
677.919076,800,667.344114
692.489676,800,669.687457
692.006966,800,671.937792
694.180074,800,674.230703
689.297975,800,676.538795
668.756204,800,678.778922
705.87965,800,689.814482
683.81628,800,692.054899
708.614057,800,694.322505
706.928593,800,696.466615
677.075623,800,698.602951
695.716332,800,700.836837
712.04021,800,711.210695
