time_us, pwm, position, angle
964073926, 0, -0.112694, 0.494801
964083926, 0, -0.118729, 0.471239
964093926, 0, -0.124815, 0.446106
964103926, 0, -0.130841, 0.420973
964113926, 0, -0.136298, 0.395841
964123926, 0, -0.142373, 0.369137
964133926, 0, -0.148409, 0.340863
964143926, 0, -0.154455, 0.311018
964153926, 0, -0.159702, 0.285885
964163926, 0, -0.165259, 0.252898
964173926, 0, -0.170297, 0.219911
964183926, 0, -0.174288, 0.185354
964193926, 0, -0.177051, 0.146084
964203926, 0, -0.178498, 0.106814
964213926, 0, -0.178648, 0.0612611
964223926, 0, -0.178089, 0.0204204
964233926, 0, -0.176104, -0.0267035
964243926, 0, -0.17356, -0.0816814
964253926, 0, -0.170238, -0.127235
964263926, 0, -0.166447, -0.185354
964273926, 0, -0.162296, -0.235619
964283926, 0, -0.157857, -0.287456
964293926, 0, -0.153567, -0.340863
964303926, 0, -0.148639, -0.387987
964313926, 0, -0.14362, -0.447677
964323926, 0, -0.138363, -0.49323
964333926, 0, -0.133514, -0.543496
964343926, 0, -0.128107, -0.590619
964353926, 0, -0.12265, -0.639314
964363926, 0, -0.116983, -0.68958
964373926, 0, -0.111397, -0.733562
964383926, 0, -0.106239, -0.775973
964393926, 0, -0.100522, -0.819956
964403926, 0, -0.0947759, -0.860796
964413926, 0, -0.0889198, -0.901637
964423926, 0, -0.083772, -0.934624
964433926, 0, -0.0779258, -0.972323
964443926, 0, -0.0721295, -1.00688
964453926, 0, -0.0662334, -1.0383
964463926, 0, -0.0609659, -1.06971
964473926, 0, -0.0550399, -1.09642
964483926, 0, -0.0491638, -1.12469
964493926, 0, -0.0432577, -1.14982
964503926, 0, -0.0379104, -1.17024
964513926, 0, -0.0320243, -1.19223
964523926, 0, -0.0261781, -1.20951
964533926, 0, -0.0201524, -1.22836
964543926, 0, -0.0143162, -1.2425
964553926, 0, -0.00890894, -1.2535
964563926, 0, -0.00301288, -1.26449
964573926, 0, 0.00294304, -1.27077
964583926, 0, 0.00887901, -1.27863
964593926, 0, 0.0142463, -1.28177
964603926, 0, 0.0200825, -1.28491
964613926, 0, 0.0260883, -1.28491
964623926, 0, 0.0320542, -1.28177
964633926, 0, 0.0373717, -1.27863
964643926, 0, 0.0433276, -1.27077
964653926, 0, 0.0492536, -1.26292
964663926, 0, 0.0551895, -1.2535
964673926, 0, 0.0605768, -1.24093
964683926, 0, 0.0664828, -1.22679
964693926, 0, 0.0724687, -1.20794
964703926, 0, 0.0783847, -1.19066
964713926, 0, 0.083752, -1.17024
964723926, 0, 0.0896381, -1.14825
964733926, 0, 0.0955441, -1.12312
964743926, 0, 0.10149, -1.09485
964753926, 0, 0.107426, -1.06657
964763926, 0, 0.112783, -1.0383
964773926, 0, 0.118729, -1.00531
964783926, 0, 0.124675, -0.970752
964793926, 0, 0.130581, -0.933053
964803926, 0, 0.135949, -0.900066
964813926, 0, 0.141855, -0.859226
964823926, 0, 0.147701, -0.818385
964833926, 0, 0.153677, -0.774403
964843926, 0, 0.159004, -0.733562
964853926, 0, 0.16494, -0.688009
964863926, 0, 0.170866, -0.640885
964873926, 0, 0.176752, -0.59219
964883926, 0, 0.182109, -0.546637
964893926, 0, 0.188035, -0.494801
964903926, 0, 0.193872, -0.442965
964913926, 0, 0.199818, -0.389557
964923926, 0, 0.205724, -0.33615
964933926, 0, 0.210931, -0.285885
