#{"t_start": 1635362523.22978, "env_id": null}
r,l,t
-401.843089,16,0.009203
-402.270298,47,0.068708
-17.970069,800,0.47436
-417.177226,208,2.929418
-410.479629,373,3.698952
-392.181283,298,4.885653
91.977867,800,6.061299
-236.461564,395,8.47806
-280.005895,570,9.762782
-401.444156,55,11.350549
-403.287911,56,11.529496
-402.83168,51,11.702161
-400.769691,470,12.008748
-384.183164,194,13.374313
-387.531904,122,13.949645
-392.674025,187,14.350384
-384.120644,139,14.912632
-385.656472,126,15.33795
343.59481,800,18.493868
-322.188346,314,20.918096
349.060843,800,22.091029
358.330562,800,24.666442
371.065178,800,27.176835
381.4141,800,29.686767
380.703,800,34.360575
-180.018163,539,36.81991
367.310238,800,38.627614
-309.462605,274,40.999651
380.008292,800,42.057334
337.718536,800,44.602994
-204.379399,450,46.841291
-139.948058,554,48.196323
434.626497,800,51.749464
-71.964415,624,54.113932
-249.305098,384,56.093779
-225.084872,433,57.339949
354.656749,800,58.838535
415.332721,800,61.373676
405.50961,800,63.916044
460.533984,800,66.443862
370.68354,800,71.417147
390.693898,800,73.9653
-262.494995,374,76.364444
-122.256387,647,77.664941
393.809999,800,79.772732
377.343758,800,82.316988
347.434722,800,84.890091
367.243018,800,89.845254
402.886002,800,92.40733
383.305356,800,94.950157
377.673044,800,97.487026
396.050421,800,100.051334
413.010013,800,102.62182
436.673789,800,107.415416
462.141541,800,109.772984
509.747535,800,112.166093
537.539465,800,114.594048
453.237173,800,117.402047
532.406738,800,119.925917
657.816021,800,124.858577
690.321131,800,127.572943
119.386753,630,130.232799
683.175623,800,132.275474
658.963473,800,134.934964
599.779897,800,137.514776
691.371378,800,140.266906
690.663538,800,145.462254
661.73968,800,148.600845
677.147743,800,151.261886
95.298324,592,153.801521
670.357845,800,155.804631
706.946955,800,158.424561
691.531061,800,163.508124
704.468861,800,166.137429
683.811686,800,168.742346
686.60722,800,171.157142
725.331971,800,173.587887
665.549193,800,176.059354
661.983338,800,178.549922
704.006311,800,183.608799
702.90578,800,186.226475
-82.299411,427,189.354957
718.770423,800,191.538594
660.726284,800,194.459586
652.865149,800,197.140821
685.214268,800,202.455611
676.276041,800,205.224251
703.245357,800,207.957904
698.400805,800,210.69324
686.46234,800,213.416859
711.10226,800,216.154094
690.247258,800,218.98138
687.972183,800,224.141254
691.153042,800,226.978904
692.606981,800,229.732034
701.834107,800,232.514708
686.805102,800,235.281953
685.21176,800,238.065166
691.645564,800,243.284008
51.048811,517,246.03756
703.607408,800,247.993879
702.014429,800,250.890739
680.53878,800,253.760369
708.365652,800,256.70109
682.791286,800,261.845279
712.484547,800,264.599572
698.959067,800,267.234798
691.063101,800,270.044859
712.710206,800,272.843261
670.324829,800,275.752765
690.678129,800,278.535323
704.155402,800,283.764639
710.162383,800,286.595555
705.814585,800,289.396263
659.552712,800,292.25898
687.642676,800,295.209029
-75.014682,456,297.949762
721.15543,800,302.293048
689.630556,800,305.140394
709.544462,800,308.069638
695.716722,800,311.040323
693.821737,800,313.955526
659.904308,800,316.940855
708.176958,800,319.871209
694.319296,800,325.287864
724.043646,800,328.341046
720.080436,800,331.294386
688.70043,800,334.269439
696.344937,800,337.25902
672.843727,800,340.295382
687.746361,800,345.854829
675.782504,800,348.721088
646.951121,800,351.628577
669.029696,800,354.49854
712.482072,800,357.36206
701.287822,800,360.236005
707.120356,800,365.499969
717.782784,800,368.362152
684.894546,800,371.231144
686.694775,800,374.107323
671.871839,800,376.918357
718.350781,800,379.55605
713.474961,800,384.629834
689.724887,800,387.482015
699.667798,800,390.547934
709.372166,800,393.7499
685.317592,800,396.832931
663.290084,800,399.889881
670.162983,800,402.963857
692.022716,800,408.780256
729.964887,800,411.801978
708.454975,800,414.748673
678.656736,800,417.670418
693.518878,800,420.645207
714.564241,800,423.659824
680.517924,800,429.087362
686.101247,800,432.058399
699.681886,800,435.084506
688.24545,800,438.08448
662.443628,800,441.025799
726.681076,800,444.018108
680.414311,800,449.503242
659.133184,800,452.549344
650.877514,800,455.318949
661.537389,800,458.208107
698.377911,800,460.998337
703.710051,800,463.844009
696.663079,800,469.038378
686.442819,800,471.861187
705.370846,800,474.915822
650.821978,800,477.835778
704.455395,800,480.736574
659.418551,800,483.654585
690.59542,800,486.518578
665.521742,800,491.739324
688.704944,800,494.624254
671.476279,800,497.474062
686.040443,800,500.383558
685.319147,800,503.363528
687.568601,800,506.226637
677.715426,800,511.463161
681.472258,800,514.338513
648.037625,800,517.229145
659.202055,800,520.117917
676.712344,800,523.03002
662.58954,800,525.88522
690.050304,800,531.144041
658.318326,800,534.192863
661.530065,800,537.282401
681.787916,800,540.169517
651.924729,800,543.106702
707.001166,800,545.962415
676.384699,800,551.152995
666.104441,800,553.99977
689.260422,800,557.053142
691.691779,800,560.020362
674.769771,800,563.035219
703.420248,800,566.087878
677.919333,800,569.169408
699.603868,800,574.720702
680.814915,800,577.690155
699.729127,800,580.596477
660.636863,800,583.950826
682.627024,800,587.219863
665.057119,800,590.411146
682.750627,800,596.125053
