#{"t_start": 1636902441.1870284, "env_id": null}
r,l,t
-402.991429,30,0.045134
-449.851216,584,1.147328
-6.650429,800,4.623441
-3.195741,800,9.294127
-404.548253,192,12.810679
16.973595,800,14.857411
32.616551,800,19.468771
35.009636,800,24.097294
50.267241,800,41.715103
40.165454,800,46.500366
52.286466,800,51.158443
34.940054,800,55.7181
50.30639,800,60.334019
65.209491,800,64.979258
53.220865,800,83.295654
72.469383,800,88.045565
73.983392,800,92.743548
104.173389,800,97.449203
102.963051,800,102.135422
115.098105,800,106.728453
149.697946,800,123.13529
135.289165,800,127.728765
122.603524,800,132.294669
120.132713,800,136.96274
145.543895,800,141.651598
104.24369,800,146.264633
125.094777,800,154.338639
145.04693,800,158.899344
141.027532,800,163.51275
177.445794,800,168.050819
178.091115,800,172.657745
182.696024,800,177.342556
268.721239,800,182.022678
215.399719,800,198.674881
255.725036,800,203.385035
307.873617,800,208.052711
308.707176,800,212.700079
390.652079,800,217.369143
403.729576,800,221.880231
-224.792987,438,230.196203
-118.85465,634,233.014145
406.467393,800,236.869929
440.498066,800,241.503235
377.655392,800,246.129531
293.79526,800,250.795627
-55.801883,740,255.326048
-10.14751,800,274.076119
402.231609,800,278.612361
-216.800362,488,282.568705
302.551335,800,285.853382
387.663735,800,290.391273
404.016523,800,295.024495
418.682248,800,299.649202
405.961377,800,318.476589
399.604506,800,323.159546
410.407419,800,327.767225
415.159209,800,332.375415
449.783247,800,337.063784
399.729646,800,341.703057
349.591914,800,359.348369
439.618624,800,363.993924
344.629407,800,368.694621
410.45461,800,373.352563
491.047878,800,377.989559
444.909342,800,382.661487
-526.479612,580,400.299848
-410.199767,70,402.787861
-488.528476,397,403.791273
-410.702529,75,405.558528
-413.532752,71,405.981053
-440.915217,180,406.595654
-461.901915,320,407.939359
-425.930366,215,409.65355
-436.215817,401,411.235934
-406.841582,205,413.236775
-415.791099,92,414.251137
-455.844475,234,415.052927
-405.425532,53,416.094713
-405.837119,52,416.396466
-403.694099,43,416.671817
-409.234772,62,416.9619
-411.228151,73,417.332765
-411.379814,72,417.756533
-424.005564,116,418.252798
-413.341759,76,418.856574
-418.153738,94,419.331648
-408.969583,63,419.826745
-408.440239,55,420.175997
-410.908429,60,420.506326
-409.774542,51,420.833811
-405.3522,39,421.103312
-422.23777,97,421.439131
-404.023062,32,421.882481
-408.324598,51,422.100368
-406.679969,43,422.372662
-411.070353,59,422.645843
-406.644129,41,422.954267
-407.812876,51,423.21016
-404.969966,41,423.481805
-404.508606,34,423.69916
-404.461488,33,423.883418
-406.421602,43,424.087523
-403.451745,37,424.325611
-407.321765,55,424.567146
-406.181213,40,424.857913
-404.966984,37,425.075301
-404.297405,32,425.268414
-405.10864,38,425.460016
-403.24604,36,425.667809
-404.689146,37,425.870696
-405.759171,40,426.082822
-403.96395,30,426.285432
-405.611151,47,426.485671
-410.835456,54,426.769468
-408.088473,47,427.073435
-407.638681,43,427.333987
-403.405612,35,427.562128
-408.790149,50,427.792174
-408.406768,48,428.078964
-403.091291,29,428.314416
-410.194647,53,428.514726
-408.33192,49,428.816841
-408.137077,47,429.098091
-407.608766,45,429.363148
-408.543626,51,429.640812
-404.783403,35,429.899468
-402.975248,33,430.088096
-404.451948,32,430.264936
-406.926155,50,430.482738
-411.680118,63,430.798388
-407.856506,47,431.514855
-409.113467,55,431.806461
-403.260264,28,432.065504
-403.470515,28,432.212321
-409.410568,50,432.414247
-407.889628,46,432.69778
-403.155542,32,432.930983
-403.644273,29,433.095234
-407.311284,48,433.296098
-406.415231,45,433.568227
-424.187898,98,433.92544
-403.43079,38,434.385757
-409.289779,53,434.640105
-410.523659,53,434.94033
-402.979812,28,435.193984
-405.107703,33,435.352566
-404.281488,32,435.534068
-402.88967,27,435.695946
-405.47194,37,435.86456
-408.632153,49,436.106239
-403.065472,28,436.340275
-402.98627,32,436.500189
-403.107322,29,436.667861
-405.506486,42,436.852182
-402.954212,27,437.056229
-418.484648,80,437.311531
-408.981813,49,437.722561
-414.686334,73,438.057053
-403.158421,28,438.389822
-403.253577,31,438.544237
-407.936823,49,438.766935
-403.284951,28,439.00458
-406.541137,42,439.193439
-421.575141,93,439.551442
-413.216969,67,440.059444
-402.930783,28,440.371474
-403.220731,29,440.523973
-403.049559,29,440.679131
-402.954005,28,440.834247
-403.110029,31,440.988908
-403.30731,34,441.163224
-403.160743,33,441.354272
-403.503229,36,441.544072
-404.498724,42,441.764241
-403.512829,30,441.976413
-402.951768,31,442.138141
-402.962323,28,442.297316
-408.07333,51,442.497714
-413.636167,70,442.836472
-402.954957,31,443.172734
-403.116366,30,443.339053
-403.192903,34,443.510812
-460.175758,227,444.11333
-403.494035,37,445.109689
-423.95473,113,445.473481
-406.012286,45,446.015969
-402.975299,30,446.245003
-407.916922,44,446.440239
-405.174905,39,446.679995
-425.656755,106,447.053252
-402.964824,29,447.533902
-403.003759,28,447.688707
-403.12607,31,447.844965
-402.992155,30,448.012304
-403.400022,36,448.191955
-425.583412,106,448.538683
-556.113133,544,450.074454
-406.911344,41,452.411848
-469.183221,255,453.115872
-461.170974,226,454.617519
-412.739478,64,455.667774
-457.603709,221,456.413106
-555.005006,566,458.525313
-216.893607,800,474.577128
-565.228673,622,479.168656
-163.882732,800,483.192518
-146.354366,800,487.814799
-155.686102,800,492.341186
-132.366669,800,496.868893
-138.17026,800,513.017447
-114.461216,800,517.484289
-116.409757,800,521.929484
-126.084522,800,526.412289
-72.213425,800,530.707662
-59.064774,800,535.077003
-48.56182,800,551.895097
-42.342922,800,556.3043
-28.929676,800,560.706736
-32.237201,800,565.203245
-26.454744,800,569.72649
-18.833483,800,574.332291
-20.535344,800,579.049736
-26.620367,800,598.583042
-35.052502,800,602.978968
-38.640565,800,607.37597
-54.435936,800,611.772959
-115.799941,800,616.136714
-66.495604,800,620.562848
-96.200064,800,640.864286
-529.317059,637,644.97213
-422.933684,107,647.480073
-491.884844,361,648.586108
-523.027739,573,650.9918
-444.934355,193,653.466408
-414.550529,80,654.326417
-412.339957,71,654.737455
-517.752623,513,656.00439
-481.023124,492,658.679308
-415.402033,90,660.62534
-408.303909,78,661.101394
-444.852702,234,661.832325
-501.610459,462,663.608557
-444.911296,315,665.816781
-410.297718,91,667.124306
-409.551911,100,667.617768
-410.273927,88,669.961822
-419.693958,299,670.866992
-474.845994,677,673.10995
-89.927417,800,676.940707
-89.261567,800,681.188072
-68.536103,800,685.422893
-40.807527,800,689.675904
-9.394031,800,709.071393
-8.372844,800,713.453836
-13.959886,800,717.824724
-7.803199,800,722.237245
-6.988301,800,726.639452
0.803627,800,731.105711
4.73849,800,735.613425
2.704311,800,755.457397
1.600311,800,760.008035
2.119669,800,764.470547
4.555504,800,768.947237
3.870471,800,773.328224
0.401512,800,777.76238
-14.258313,800,799.176448
-6.982695,800,803.830511
-35.483022,800,809.002867
-395.223108,604,813.146648
-0.668873,800,816.873008
-43.500142,800,821.5121
-12.102005,800,840.457983
1.423829,800,845.106925
-12.039395,800,849.72912
-2.52243,800,854.400439
-14.130535,800,859.333864
-22.397871,800,864.074958
-34.868593,800,868.993677
-29.488467,800,891.623648
-64.067256,800,896.54387
78.279066,800,900.968419
-68.063037,800,905.419083
306.04295,800,909.667309
350.762543,800,913.940576
384.006046,800,929.246219
370.234449,800,933.561269
322.218424,800,937.873518
484.24667,800,942.36667
359.954355,800,946.911908
-50.544514,800,951.420995
-19.334495,800,969.113551
-6.777228,800,973.419168
-0.108952,800,977.989461
-0.067752,800,982.446316
-1.251975,800,987.082134
-3.227782,800,991.606322
-30.573232,800,1010.575912
-430.2387,266,1013.999037
-411.506874,118,1015.201729
-421.01247,260,1016.106042
-409.969471,80,1017.188111
-405.498745,54,1017.573534
-408.579742,81,1017.915112
-411.2723,93,1018.388145
-417.713908,271,1019.287378
-403.697999,41,1020.34147
-405.577011,55,1020.576362
-405.636524,54,1020.853427
-403.425023,31,1021.092479
-405.866077,57,1021.297114
-405.544019,52,1021.60511
-405.980793,51,1021.888879
-404.2657,42,1022.140469
-404.72648,34,1022.341713
-405.71023,50,1022.544724
-405.794579,55,1022.834958
-404.154597,46,1023.114606
-407.030138,64,1023.397871
-406.921555,53,1023.715596
-404.180169,46,1023.977782
-406.659197,66,1024.262903
-408.005017,69,1024.628197
-408.631244,89,1025.031291
-405.685065,63,1025.452236
428.051969,800,1027.064349
-193.250844,570,1030.886335
502.709888,800,1034.61938
-9.948283,778,1049.201529
-189.759168,640,1053.085023
-286.063806,399,1056.057107
-363.350659,258,1057.932788
-99.334735,717,1060.054681
250.484274,800,1064.036361
-0.772747,800,1068.549839
-2.0523,800,1073.001853
-11.423951,800,1092.048218
528.062364,800,1096.539999
600.942439,800,1100.997155
-106.858073,645,1105.011916
-288.937215,347,1107.919847
-254.227163,433,1109.905198
-282.928623,348,1112.023933
-237.136826,437,1113.996059
-194.632496,468,1116.34868
-269.303998,550,1124.427886
-163.874381,588,1127.397665
-250.963129,417,1130.199095
364.723264,800,1132.975971
345.932302,800,1137.179445
575.208978,800,1141.650706
601.050341,800,1146.159447
-75.373992,557,1163.447312
468.264506,800,1166.878563
-174.118929,592,1170.778171
590.269206,800,1174.495556
440.850571,800,1178.726161
626.463145,800,1183.205014
612.225918,800,1187.671214
397.963172,800,1205.012287
