#{"t_start": 1635898230.7056851, "env_id": null}
r,l,t
-402.992792,29,0.028181
-446.827688,542,2.071418
-23.017282,800,6.292244
-2.711499,800,10.554758
-11.854718,800,14.762804
-403.80337,47,17.580804
-404.979774,92,17.891252
-427.959485,717,19.424399
-406.965422,80,22.125741
-33.501916,800,23.79633
103.910707,800,39.801525
80.968878,800,44.043334
53.102515,800,48.360817
312.691912,800,52.311534
117.758574,800,56.480572
175.48599,800,60.793786
283.05142,800,76.517493
311.275475,800,80.601779
380.745334,800,84.725073
405.61227,800,89.187366
353.923488,800,93.584749
388.800338,800,98.067957
-110.024159,636,102.306533
383.82062,800,123.101644
387.836836,800,127.987646
405.3086,800,133.056318
399.30573,800,138.244035
388.935374,800,142.735062
399.577694,800,147.807837
394.99303,800,166.590392
408.184888,800,171.012934
376.168858,800,175.898375
452.303715,800,181.005271
447.902154,800,185.754302
450.890099,800,190.534104
479.458756,800,209.673736
466.798511,800,215.156328
472.379103,800,220.497167
497.865218,800,225.791919
526.804453,800,231.341221
541.72433,800,236.862804
642.703498,800,260.102517
610.782947,800,265.77586
633.827348,800,271.009734
640.871795,800,276.317001
611.823936,800,281.414149
642.960315,800,286.746781
589.755686,800,292.548852
619.767099,800,319.644067
632.039866,800,324.844393
618.783973,800,330.557259
636.010105,800,336.297336
630.958278,800,341.916951
618.274364,800,347.682559
627.370301,800,372.678632
606.759399,800,378.302536
591.73652,800,383.931522
645.807019,800,389.566514
629.893202,800,395.237964
637.651126,800,400.956996
619.440064,800,426.968335
633.094111,800,432.621818
607.587312,800,438.364592
609.427188,800,443.93521
634.315002,800,449.571428
617.109617,800,455.184223
613.25825,800,477.234304
585.192282,800,481.95283
588.01309,800,486.767316
628.460774,800,491.584091
643.561207,800,496.353495
619.526377,800,501.283204
633.680373,800,506.117845
622.906895,800,527.142439
616.97232,800,531.894197
641.987244,800,536.803253
607.115105,800,541.751707
597.339667,800,546.626241
619.852512,800,551.513292
648.471148,800,571.204716
642.868026,800,575.824889
623.163766,800,580.462634
639.571796,800,584.658823
614.712867,800,589.337982
583.267735,800,593.926899
606.042773,800,612.060586
615.37252,800,616.700689
629.494723,800,621.324008
646.409866,800,626.008588
592.759328,800,630.72844
610.036982,800,635.422842
591.933099,800,654.508166
623.041488,800,659.419461
584.533104,800,664.341095
-28.528604,533,668.834107
609.074171,800,672.805696
616.939367,800,677.76663
159.706927,779,682.727992
599.706874,800,699.448658
608.351122,800,704.318168
641.168148,800,709.269262
586.100574,800,714.205058
-222.271462,332,718.132383
618.157602,800,721.205559
588.658671,800,726.063949
607.229773,800,744.604101
619.603541,800,749.489968
649.391166,800,754.304446
651.762021,800,759.242408
623.945037,800,764.103879
610.464016,800,769.168908
577.445597,800,788.25482
623.755077,800,792.978437
564.956145,800,797.759435
590.953702,800,802.511062
589.772302,800,807.358535
619.367567,800,812.758936
605.072595,800,831.919358
597.475714,800,836.634951
604.721021,800,841.353112
587.262514,800,845.926776
626.387572,800,850.55105
611.705717,800,855.226764
625.089452,800,859.81711
602.227294,800,877.861304
609.403433,800,882.65147
639.996619,800,887.981655
617.149067,800,893.374622
626.290165,800,898.169417
604.113123,800,903.122422
642.425603,800,924.935394
608.959564,800,930.591187
585.762006,800,936.256197
632.95211,800,941.83447
586.203126,800,947.473236
609.83769,800,952.460854
648.912417,800,972.42376
638.861024,800,977.088158
598.203395,800,981.620836
582.529981,800,986.366623
649.198527,800,991.046627
640.860213,800,995.901231
641.905029,800,1015.705784
625.834596,800,1020.447772
586.547663,800,1025.146069
598.051859,800,1029.864918
584.286036,800,1034.533056
619.952382,800,1039.08926
633.608391,800,1043.673681
641.532596,800,1062.133466
607.203505,800,1066.683908
629.463816,800,1071.37041
634.017648,800,1076.015074
586.973548,800,1080.647745
630.324005,800,1085.485209
624.510356,800,1104.086642
624.564504,800,1108.853142
673.630157,800,1113.719134
623.677601,800,1118.329992
630.743701,800,1123.207768
639.802407,800,1128.042063
624.45231,800,1148.175737
642.176873,800,1152.917568
652.8391,800,1157.663879
615.343211,800,1162.800761
629.431099,800,1167.729357
623.509744,800,1173.020219
643.210594,800,1194.34716
620.138679,800,1199.635452
608.222528,800,1204.511093
630.539694,800,1209.417766
600.384036,800,1214.576321
621.699145,800,1220.151679
574.590174,800,1226.002894
629.665539,800,1246.149313
628.501258,800,1251.004897
627.005006,800,1255.840076
621.207338,800,1260.645007
635.23764,800,1265.560091
611.723439,800,1270.489691
616.239754,800,1294.994576
638.291702,800,1300.808272
585.759027,800,1306.429025
606.531759,800,1311.945593
595.918812,800,1317.711865
614.872898,800,1323.408503
606.047847,800,1347.17167
569.069058,800,1352.89752
623.391674,800,1358.286149
592.528461,800,1363.637853
-337.76117,194,1367.725348
591.165456,800,1370.574407
613.75387,800,1375.993142
632.116582,800,1399.375566
